#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Are you tough enough?
1-1	0-1	#	*[523]|*[778]	SOFTWARE[523]|SOFTWARE[778]
1-2	2-5	Are	*[778]	SOFTWARE[778]
1-3	6-9	you	*[778]	SOFTWARE[778]
1-4	10-15	tough	*[778]	SOFTWARE[778]
1-5	16-22	enough	*[778]	SOFTWARE[778]
1-6	22-23	?	*[778]	SOFTWARE[778]

#Text=Framework for Robustness Validation of Machine Comprehension Systems  This repository contains dataset for robustness validation of machine comprehension systems trained on SQuAD dataset.
2-1	24-33	Framework	*[778]	SOFTWARE[778]
2-2	34-37	for	*[778]	SOFTWARE[778]
2-3	38-48	Robustness	*[778]	SOFTWARE[778]
2-4	49-59	Validation	*[778]	SOFTWARE[778]
2-5	60-62	of	*[778]	SOFTWARE[778]
2-6	63-70	Machine	*[778]	SOFTWARE[778]
2-7	71-84	Comprehension	*[778]	SOFTWARE[778]
2-8	85-92	Systems	*[778]	SOFTWARE[778]
2-9	94-98	This	*[778]	SOFTWARE[778]
2-10	99-109	repository	*[778]	SOFTWARE[778]
2-11	110-118	contains	*[778]	SOFTWARE[778]
2-12	119-126	dataset	*[778]	SOFTWARE[778]
2-13	127-130	for	*[778]	SOFTWARE[778]
2-14	131-141	robustness	*[778]	SOFTWARE[778]
2-15	142-152	validation	*[778]	SOFTWARE[778]
2-16	153-155	of	*[778]	SOFTWARE[778]
2-17	156-163	machine	*[778]	SOFTWARE[778]
2-18	164-177	comprehension	*[778]	SOFTWARE[778]
2-19	178-185	systems	*[778]	SOFTWARE[778]
2-20	186-193	trained	*[778]	SOFTWARE[778]
2-21	194-196	on	*[778]	SOFTWARE[778]
2-22	197-202	SQuAD	*[778]	SOFTWARE[778]
2-23	203-210	dataset	*[778]	SOFTWARE[778]
2-24	210-211	.	*[778]	SOFTWARE[778]

#Text=It was created with WordNet synonyms embedded with ELMo and manually corrected by annotators.
3-1	212-214	It	*[778]	SOFTWARE[778]
3-2	215-218	was	*[778]	SOFTWARE[778]
3-3	219-226	created	*[778]	SOFTWARE[778]
3-4	227-231	with	*[778]	SOFTWARE[778]
3-5	232-239	WordNet	*[778]	SOFTWARE[778]
3-6	240-248	synonyms	*[778]	SOFTWARE[778]
3-7	249-257	embedded	*[778]	SOFTWARE[778]
3-8	258-262	with	*[778]	SOFTWARE[778]
3-9	263-267	ELMo	*[778]	SOFTWARE[778]
3-10	268-271	and	*[778]	SOFTWARE[778]
3-11	272-280	manually	*[778]	SOFTWARE[778]
3-12	281-290	corrected	*[778]	SOFTWARE[778]
3-13	291-293	by	*[778]	SOFTWARE[778]
3-14	294-304	annotators	*[778]	SOFTWARE[778]
3-15	304-305	.	*[778]	SOFTWARE[778]

#Text=\*\*A robust model should be robust to changes in input that do not alter its semantics.\*\* We test this property of 3 popular models: DrQA, BiDAF and QANet by manipulating questions in two ways- swapping important question word for:  1) its semantically correct synonym and 2) for word vector that is close in embedding space.
4-1	307-308	\*	*[778]	SOFTWARE[778]
4-2	308-309	\*	*[778]	SOFTWARE[778]
4-3	309-310	A	*[778]	SOFTWARE[778]
4-4	311-317	robust	*[778]	SOFTWARE[778]
4-5	318-323	model	*[778]	SOFTWARE[778]
4-6	324-330	should	*[778]	SOFTWARE[778]
4-7	331-333	be	*[778]	SOFTWARE[778]
4-8	334-340	robust	*[778]	SOFTWARE[778]
4-9	341-343	to	*[778]	SOFTWARE[778]
4-10	344-351	changes	*[778]	SOFTWARE[778]
4-11	352-354	in	*[778]	SOFTWARE[778]
4-12	355-360	input	*[778]	SOFTWARE[778]
4-13	361-365	that	*[778]	SOFTWARE[778]
4-14	366-368	do	*[778]	SOFTWARE[778]
4-15	369-372	not	*[778]	SOFTWARE[778]
4-16	373-378	alter	*[778]	SOFTWARE[778]
4-17	379-382	its	*[778]	SOFTWARE[778]
4-18	383-392	semantics	*[778]	SOFTWARE[778]
4-19	392-393	.	*[778]	SOFTWARE[778]
4-20	393-394	\*	*[778]	SOFTWARE[778]
4-21	394-395	\*	*[778]	SOFTWARE[778]
4-22	396-398	We	*[778]	SOFTWARE[778]
4-23	399-403	test	*[778]	SOFTWARE[778]
4-24	404-408	this	*[778]	SOFTWARE[778]
4-25	409-417	property	*[778]	SOFTWARE[778]
4-26	418-420	of	*[778]	SOFTWARE[778]
4-27	421-422	3	*[778]	SOFTWARE[778]
4-28	423-430	popular	*[778]	SOFTWARE[778]
4-29	431-437	models	*[778]	SOFTWARE[778]
4-30	437-438	:	*[778]	SOFTWARE[778]
4-31	439-443	DrQA	*[778]	SOFTWARE[778]
4-32	443-444	,	*[778]	SOFTWARE[778]
4-33	445-450	BiDAF	*[778]	SOFTWARE[778]
4-34	451-454	and	*[778]	SOFTWARE[778]
4-35	455-460	QANet	*[778]	SOFTWARE[778]
4-36	461-463	by	*[778]	SOFTWARE[778]
4-37	464-476	manipulating	*[778]	SOFTWARE[778]
4-38	477-486	questions	*[778]	SOFTWARE[778]
4-39	487-489	in	*[778]	SOFTWARE[778]
4-40	490-493	two	*[778]	SOFTWARE[778]
