#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=Team DETR: Guide Queries as a Professional Team in Detection Transformers
#Text=========
#Text=
#Text=[!
1-1	0-4	Team	*[1]|*[2]	PUBLICATION[1]|SOFTWARE[2]	
1-2	5-9	DETR	*[1]|*[2]	PUBLICATION[1]|SOFTWARE[2]	
1-3	9-10	:	*[1]	PUBLICATION[1]	
1-4	11-16	Guide	*[1]	PUBLICATION[1]	
1-5	17-24	Queries	*[1]	PUBLICATION[1]	
1-6	25-27	as	*[1]	PUBLICATION[1]	
1-7	28-29	a	*[1]	PUBLICATION[1]	
1-8	30-42	Professional	*[1]	PUBLICATION[1]	
1-9	43-47	Team	*[1]	PUBLICATION[1]	
1-10	48-50	in	*[1]	PUBLICATION[1]	
1-11	51-60	Detection	*[1]	PUBLICATION[1]	
1-12	61-73	Transformers	*[1]	PUBLICATION[1]	
1-13	74-75	=	_	_	
1-14	75-76	=	_	_	
1-15	76-77	=	_	_	
1-16	77-78	=	_	_	
1-17	78-79	=	_	_	
1-18	79-80	=	_	_	
1-19	80-81	=	_	_	
1-20	81-82	=	_	_	
1-21	84-85	[	_	_	
1-22	85-86	!	_	_	

#Text=[conference](https://img.shields.io/badge/Conference-ICIP_2023_(oral)-ff69b4)](https://2023.ieeeicip.org/)
#Text=&emsp;[!
2-1	86-87	[	_	_	
2-2	87-97	conference	_	_	
2-3	97-98	]	_	_	
2-4	98-99	(	_	_	
2-5	99-104	https	_	_	
2-6	104-105	:	_	_	
2-7	105-106	/	_	_	
2-8	106-107	/	_	_	
2-9	107-121	img.shields.io	_	_	
2-10	121-122	/	_	_	
2-11	122-127	badge	_	_	
2-12	127-128	/	_	_	
2-13	128-143	Conference-ICIP	_	_	
2-13.1	139-143	ICIP	*	CONFERENCE	
2-14	143-144	_	_	_	
2-15	144-148	2023	_	_	
2-16	148-149	_	_	_	
2-17	149-150	(	_	_	
2-18	150-154	oral	_	_	
2-19	154-155	)	_	_	
2-20	155-156	-	_	_	
2-21	156-162	ff69b4	_	_	
2-22	162-163	)	_	_	
2-23	163-164	]	_	_	
2-24	164-165	(	_	_	
2-25	165-170	https	_	_	
2-26	170-171	:	_	_	
2-27	171-172	/	_	_	
2-28	172-173	/	_	_	
2-29	173-177	2023	_	_	
2-30	177-178	.	_	_	
2-31	178-190	ieeeicip.org	_	_	
2-31.1	178-186	ieeeicip	*	CONFERENCE	
2-32	190-191	/	_	_	
2-33	191-192	)	_	_	
2-34	193-194	&	_	_	
2-35	194-198	emsp	_	_	
2-36	198-199	;	_	_	
2-37	199-200	[	_	_	
2-38	200-201	!	_	_	

#Text=[code](https://img.shields.io/badge/Code-Official-brightgreen)]()
#Text=&emsp;[!
3-1	201-202	[	_	_	
3-2	202-206	code	_	_	
3-3	206-207	]	_	_	
3-4	207-208	(	_	_	
3-5	208-213	https	_	_	
3-6	213-214	:	_	_	
3-7	214-215	/	_	_	
3-8	215-216	/	_	_	
3-9	216-230	img.shields.io	_	_	
3-10	230-231	/	_	_	
3-11	231-236	badge	_	_	
3-12	236-237	/	_	_	
3-13	237-262	Code-Official-brightgreen	_	_	
3-14	262-263	)	_	_	
3-15	263-264	]	_	_	
3-16	264-265	(	_	_	
3-17	265-266	)	_	_	
3-18	267-268	&	_	_	
3-19	268-272	emsp	_	_	
3-20	272-273	;	_	_	
3-21	273-274	[	_	_	
3-22	274-275	!	_	_	

#Text=[doc](https://img.shields.io/badge/Docs-Latest-orange)](README.md)
#Text=&emsp;[!
4-1	275-276	[	_	_	
4-2	276-279	doc	_	_	
4-3	279-280	]	_	_	
4-4	280-281	(	_	_	
4-5	281-286	https	_	_	
4-6	286-287	:	_	_	
4-7	287-288	/	_	_	
4-8	288-289	/	_	_	
4-9	289-303	img.shields.io	_	_	
4-10	303-304	/	_	_	
4-11	304-309	badge	_	_	
4-12	309-310	/	_	_	
4-13	310-328	Docs-Latest-orange	_	_	
4-14	328-329	)	_	_	
4-15	329-330	]	_	_	
4-16	330-331	(	_	_	
4-17	331-340	README.md	_	_	
4-18	340-341	)	_	_	
4-19	342-343	&	_	_	
4-20	343-347	emsp	_	_	
4-21	347-348	;	_	_	
4-22	348-349	[	_	_	
4-23	349-350	!	_	_	

#Text=[license](https://img.shields.io/badge/License-Apache--2.0-blue)](LICENSE)
#Text=
#Text=> Authors: Tian Qiu, Linyun Zhou, Wenxiang Xu, Lechao Cheng, Zunlei Feng, Mingli Song  
#Text=> Affiliation: Zhejiang University  
#Text=> Paper Link: [[arXiv]](https://arxiv.org/abs/2302.07116) / [[IEEE ICIP]](https://ieeexplore.ieee.org/document/10222890)
#Text=
#Text=## Abstract
#Text=
#Text=Recent proposed DETR variants have made tremendous progress in various scenarios due to their streamlined processes and
#Text=remarkable performance.
5-1	350-351	[	_	_	
5-2	351-358	license	_	_	
5-3	358-359	]	_	_	
5-4	359-360	(	_	_	
5-5	360-365	https	_	_	
5-6	365-366	:	_	_	
5-7	366-367	/	_	_	
5-8	367-368	/	_	_	
5-9	368-382	img.shields.io	_	_	
5-10	382-383	/	_	_	
5-11	383-388	badge	_	_	
5-12	388-389	/	_	_	
5-13	389-403	License-Apache	*[3]	LICENSE[3]	
5-14	403-404	-	*[3]	LICENSE[3]	
5-15	404-405	-	*[3]	LICENSE[3]	
5-16	405-408	2.0	*[3]	LICENSE[3]	
5-17	408-409	-	_	_	
5-18	409-413	blue	_	_	
5-19	413-414	)	_	_	
5-20	414-415	]	_	_	
5-21	415-416	(	_	_	
5-22	416-423	LICENSE	_	_	
5-23	423-424	)	_	_	
5-24	426-427	>	_	_	
5-25	428-435	Authors	_	_	
5-26	435-436	:	_	_	
5-27	437-441	Tian	_	_	
5-28	442-445	Qiu	_	_	
5-29	445-446	,	_	_	
5-30	447-453	Linyun	_	_	
5-31	454-458	Zhou	_	_	
5-32	458-459	,	_	_	
5-33	460-468	Wenxiang	_	_	
5-34	469-471	Xu	_	_	
5-35	471-472	,	_	_	
5-36	473-479	Lechao	_	_	
5-37	480-485	Cheng	_	_	
5-38	485-486	,	_	_	
5-39	487-493	Zunlei	_	_	
5-40	494-498	Feng	_	_	
5-41	498-499	,	_	_	
5-42	500-506	Mingli	_	_	
5-43	507-511	Song	_	_	
5-44	514-515	>	_	_	
5-45	516-527	Affiliation	_	_	
5-46	527-528	:	_	_	
5-47	529-537	Zhejiang	_	_	
5-48	538-548	University	_	_	
5-49	551-552	>	_	_	
5-50	553-558	Paper	_	_	
5-51	559-563	Link	_	_	
5-52	563-564	:	_	_	
5-53	565-566	[	_	_	
5-54	566-567	[	_	_	
5-55	567-572	arXiv	_	_	
5-56	572-573	]	_	_	
5-57	573-574	]	_	_	
5-58	574-575	(	_	_	
5-59	575-580	https	_	_	
5-60	580-581	:	_	_	
5-61	581-582	/	_	_	
5-62	582-583	/	_	_	
5-63	583-592	arxiv.org	_	_	
5-64	592-593	/	_	_	
5-65	593-596	abs	_	_	
5-66	596-597	/	_	_	
5-67	597-607	2302.07116	_	_	
5-68	607-608	)	_	_	
5-69	609-610	/	_	_	
5-70	611-612	[	_	_	
5-71	612-613	[	_	_	
5-72	613-617	IEEE	*[4]	CONFERENCE[4]	
5-73	618-622	ICIP	*[4]	CONFERENCE[4]	
5-74	622-623	]	_	_	
5-75	623-624	]	_	_	
5-76	624-625	(	_	_	
5-77	625-630	https	_	_	
5-78	630-631	:	_	_	
5-79	631-632	/	_	_	
5-80	632-633	/	_	_	
5-81	633-652	ieeexplore.ieee.org	_	_	
5-82	652-653	/	_	_	
